   #x      l     jdown_normalized_value
 10.00     0    -0.544020E-01
 10.00     1     0.784668E-01
 10.00     2     0.779420E-01
 10.00     3    -0.394958E-01
 10.00     4    -0.105589E+00
 10.00     5    -0.555344E-01
 10.00     6     0.445012E-01
 10.00     7     0.113386E+00
 10.00     8     0.125578E+00
 10.00     9     0.100096E+00
 10.00    10     0.646050E-01
 10.00    11     0.355743E-01
 10.00    12     0.172160E-01
 10.00    13     0.746557E-02
 10.00    14     0.294107E-02
 10.00    15     0.106354E-02
 10.00    16     0.355903E-03
 10.00    17     0.110941E-03
 10.00    18     0.323884E-04
 10.00    19     0.889661E-05
 10.00    20     0.230837E-05
 10.00    21     0.567697E-06
 10.00    22     0.132728E-06
 10.00    23     0.295802E-07
 10.00    24     0.629889E-08
 10.00    25     0.128434E-08
